id	implementation	evidence	status	notes
ORPC-1.4-0001	document.go:NewDocument	document_test.go:TestDocumentRequiresVersionInfoAndMethods	complete	Constructors reject every absent required root field while optional fields retain explicit presence.
ORPC-1.4-0002	jsonschema/validate.go:ecmaRegexpEngine	jsonschema/validate_test.go:TestValidatorUsesBoundedECMAScriptRegularExpressions	complete	The more specific ECMA-262 recommendation is selected over PCRE and bounded by a match timeout.
ORPC-1.4-0003	jsonschema/validate.go:ecmaRegexpEngine	jsonschema/validate_test.go:TestValidatorUsesBoundedECMAScriptRegularExpressions	complete	Schema patterns use the pinned regexp2 ECMAScript mode rather than Go RE2 syntax.
ORPC-1.4-0004	fields.go:NewExtensions	fields_test.go:TestNewExtensionsRequiresUniquePrefixedNames	complete	Extension names require the exact x- prefix.
ORPC-1.4-0005	version.go:Version.FeatureSet	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete	The feature set is explicitly 1.4.
ORPC-1.4-0006	version.go:ParseVersion	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete	All canonical patch releases in the supported 1.4 feature line use identical semantics.
ORPC-1.4-0007	version.go:ParseVersion	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete	Every non-negative canonical 1.4 patch is accepted without distinct semantics.
ORPC-1.4-0008	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	not-applicable	This governs future specification authors; the implementation explicitly rejects un-inventoried future feature lines.
ORPC-1.4-0009	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	not-applicable	This hypothetical future-release guarantee cannot govern current 1.4 tooling before that specification exists.
ORPC-1.4-0010	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable	The module has no implicit file-loading or naming surface.
ORPC-1.4-0011	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable	The optional CLI and default-path behavior are intentionally absent from the core module.
ORPC-1.4-0012	serialization.go:MarshalCanonical	serialization_test.go:TestMarshalCanonicalIsStableAcrossObjectOrderAndWhitespace	complete	Canonical documents emit the specification's exact camel-case standard field names.
ORPC-1.4-0013	jsonvalue/value.go:Parse	jsonvalue/value_test.go:TestParseRejectsAmbiguousOrMalformedJSON	complete	Duplicate JSON object member names are rejected.
ORPC-1.4-0014	jsonvalue/value.go:Parse	jsonvalue/value_test.go:TestParseRejectsAmbiguousOrMalformedJSON	complete	All member names are unique before patterned fields are interpreted.
ORPC-1.4-0015	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable	The module preserves rich text but exposes no renderer to which this conditional requirement applies.
ORPC-1.4-0016	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable	Markdown rendering and security feature selection remain caller-owned.
ORPC-1.4-0017	discovery/discovery.go:MethodName	discovery/discovery_test.go:TestNewServiceRequiresProvider	complete	The transport-neutral discovery adapter exposes only the mandated rpc.discover name.
ORPC-1.4-0018	specification.go:MetaSchema	validate/metaschema_test.go:TestPinnedOfficialExamplesAreExplicitlyOutsideCurrentVersionLine	not-applicable	This governs the upstream specification's example publication; the module pins and tests those examples without relabeling their older feature lines.
ORPC-1.4-0019	specification.go:MetaSchema	internal/specification/manifest_test.go:TestVerifyPinnedInputsChecksEveryManifestDigest	complete	The exact authoritative schema and its companion are pinned and checksum-verified offline.
ORPC-1.4-0020	validate/schema.go:validator.validateSchemas	validate/validate_test.go:TestDocumentCompilesEveryDraft7SchemaObject	complete	Every inline and reusable Schema Object is compiled as Draft 7 without lossy numeric conversion.
ORPC-1.4-0021	fields.go:NewExtensions	serialization_test.go:TestMarshalCanonicalIsStableAcrossObjectOrderAndWhitespace	complete	Specification extensions are retained as exact arbitrary JSON fields on extensible objects.
ORPC-1.4-0022	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete	Contact email values are checked with a syntax-aware address parser.
ORPC-1.4-0023	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksNormativeEmailAndURIFormats	complete	Contact URL values must be absolute URI references.
ORPC-1.4-0024	method.go:NewContentDescriptor	method_test.go:TestReferenceAndContentDescriptorRequiredFields	complete	A descriptor cannot be constructed without an object or boolean schema.
ORPC-1.4-0025	method.go:ContentDescriptor.Deprecated	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete	The descriptor deprecation advisory is preserved explicitly and defaults to false only when absent.
ORPC-1.4-0026	method.go:ContentDescriptor.Name	method_test.go:TestMethodPreservesNormativeOptionalSemantics	complete	By-name parameter assignment retains each descriptor name as the JSON-RPC parameter key.
ORPC-1.4-0027	integer.go:ParseInteger	method_test.go:TestErrorCodePreservesArbitraryPrecision	complete	Error codes use canonical arbitrary-precision integer lexemes.
ORPC-1.4-0028	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable	Predefined protocol errors are assumed and produced by the caller-owned JSON-RPC runtime, not duplicated in document methods.
ORPC-1.4-0029	validate/validate.go:validator.validateErrorMessage	validate/validate_test.go:TestDocumentWarnsWhenErrorMessagesAreNotConciseSentences	complete	Clearly multiline, long, or multi-sentence error messages produce a non-fatal advisory.
ORPC-1.4-0030	validate/validate.go:validator.validateMetadata	validate/validate_test.go:TestValidationChecksExternalDocumentationAtEveryInlineLocation	complete	Every inline External Documentation Object URL must be absolute.
ORPC-1.4-0031	metadata.go:NewInfo	metadata_test.go:TestMetadataObjectsPreserveOptionalPresence	complete	Optional API metadata is preserved for presentation and other caller-owned uses.
