id	status	implementation	tests	documentation	notes
OAS-2.0-0001	implemented	document.go	document_test.go	README.md#supported-document-lines	The required Swagger marker is selected only for the exact 2.0 value.
OAS-2.0-0002	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger hosts are checked for host or IP syntax, an optional port, and forbidden scheme, path, query, fragment, or template content.
OAS-2.0-0003	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger hosts accept a syntactically valid optional port, including bracketed IPv6 hosts.
OAS-2.0-0004	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Swagger base paths are checked for a leading slash and forbidden template, query, or fragment content.
OAS-2.0-0005	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Root schemes are restricted to http, https, ws, or wss.
OAS-2.0-0006	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Root consumes entries are checked as media types.
OAS-2.0-0007	implemented	validate/swagger.go	validate/swagger_test.go	README.md#parse-and-validate	Root produces entries are checked as media types.
OAS-2.0-0008	implemented	validate/tags.go	validate/tags_test.go	README.md#parse-and-validate	Local tag-name uniqueness is fully checked.
OAS-2.0-0009	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0010	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0011	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	Contact URLs must be absolute URIs.
OAS-2.0-0012	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	Contact emails must be address-only RFC mailboxes.
OAS-2.0-0013	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0014	implemented	validate/metadata.go	validate/metadata_test.go	README.md#parse-and-validate	License URLs must be absolute URIs.
OAS-2.0-0015	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
OAS-2.0-0016	implemented	validate/paths.go	validate/paths_test.go	README.md#parse-and-validate	Paths fields must begin with a slash unless they are specification extensions.
OAS-2.0-0017	implemented	swagger20/model_generated.go	swagger20/model_generated_test.go	README.md#typed-views-and-lossless-values	Generated typed accessors retain each x- extension name and its lossless value on every extension-capable object.
