id	source	line	level	requirement	implementation	evidence	status
ORPC-1.4-0001	spec-template.md	7	REQUIRED	In the following description, if a field is not explicitly **REQUIRED** or described with a MUST or SHALL, it can be considered OPTIONAL.	document.go:NewDocument	document_test.go:TestDocumentRequiresVersionInfoAndMethods	complete
ORPC-1.4-0002	spec-template.md	42	RECOMMENDED	Regular expressions within the OpenRPC specification and tooling is RECOMMENDED to be a [Perl Compatible Regular Expressions](https://www.pcre.org/).	jsonschema/validate.go:ecmaRegexpEngine	jsonschema/validate_test.go:TestValidatorUsesBoundedECMAScriptRegularExpressions	complete
ORPC-1.4-0003	spec-template.md	42	SHOULD	That being said, tooling implementers SHOULD adhere to [ECMA-262 6th Edition Regular Expressions](https://www.ecma-international.org/ecma-262/6.0/#sec-regexp-regular-expression-objects).	jsonschema/validate.go:ecmaRegexpEngine	jsonschema/validate_test.go:TestValidatorUsesBoundedECMAScriptRegularExpressions	complete
ORPC-1.4-0004	spec-template.md	63	MUST	The field name MUST begin with `x-`, for example, `x-internal-id`.	fields.go:NewExtensions	fields_test.go:TestNewExtensionsRequiresUniquePrefixedNames	complete
ORPC-1.4-0005	spec-template.md	75	SHALL	The `major.minor` portion of the semver (for example `1.0.x`) SHALL designate the OpenRPC feature set.	version.go:Version.FeatureSet	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete
ORPC-1.4-0006	spec-template.md	75	SHOULD	Tooling which supports OpenRPC 1.0.0 SHOULD be compatible with all OpenRPC `1.0.x` versions.	version.go:ParseVersion	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete
ORPC-1.4-0007	spec-template.md	75	SHOULD NOT	The patch version SHOULD NOT be considered by tooling, making no distinction between `1.0.0` and `1.0.1` for example.	version.go:ParseVersion	version_test.go:TestParseVersionAcceptsSupportedPatchLine	complete
ORPC-1.4-0008	spec-template.md	77	SHOULD NOT	Subsequent minor version releases of the OpenRPC Specification (incrementing the `minor` version number) SHOULD NOT interfere with tooling developed to a lower minor version and same major version.	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	not-applicable
ORPC-1.4-0009	spec-template.md	77	SHOULD	Thus a hypothetical `1.1.0` specification SHOULD be usable with tooling designed for `1.0.0`.	version.go:ParseVersion	version_test.go:TestParseVersionRejectsUnsupportedOrMalformedVersions	not-applicable
ORPC-1.4-0010	spec-template.md	85	RECOMMENDED	It is RECOMMENDED that the OpenRPC document be named: `openrpc.json`.	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable
ORPC-1.4-0011	spec-template.md	85	MAY	Tooling that requires an OpenRPC document as input MAY assume the default document location to be `./openrpc.json`, where the `./` represents the current working directory.	docs/compatibility.md:Tooling scope	internal/specification/evidence_test.go:TestConformanceEvidenceCoversEveryNormativeStatement	not-applicable
ORPC-1.4-0012	spec-template.md	87	SHOULD	[CamelCase](https://trac.tools.ietf.org/group/tools/trac/wiki/CamelCase) SHOULD be used for all key names.	serialization.go:MarshalCanonical	serialization_test.go:TestMarshalCanonicalIsStableAcrossObjectOrderAndWhitespace	complete
ORPC-1.4-0013	spec-template.md	90	SHOULD	[According to the JSON specification for objects](https://tools.ietf.org/html/rfc7159#section-4), key names SHOULD be unique.	jsonvalue/value.go:Parse	jsonvalue/value_test.go:TestParseRejectsAmbiguousOrMalformedJSON	complete
ORPC-1.4-0014	spec-template.md	90	MUST	However, To avoid ambiguity, all [patterned fields](#patterned-field) in an OpenRPC document MUST have unique key names within the containing object.	jsonvalue/value.go:Parse	jsonvalue/value_test.go:TestParseRejectsAmbiguousOrMalformedJSON	complete
